city,loss,accuracy,iou_score,f1_score,precision,recall
mean,0.3836597204208374,0.8696390390396118,0.15595446527004242,0.2616606056690216,0.6476964950561523,0.611199140548706
Yaoundé,1.028472900390625,0.6648944020271301,0.0445055216550827,0.08340299874544144,0.05848794803023338,0.23858419060707092
Dar es Salaam,0.4581751227378845,0.83660888671875,0.21847021579742432,0.3585975468158722,0.24483340978622437,0.6698493361473083
Kampala,0.4820669889450073,0.8252430558204651,0.10999178886413574,0.181156724691391,0.11713416129350662,0.3667204976081848
Douala,0.9402012228965759,0.6167246699333191,0.027476640418171883,0.05348372831940651,0.034662410616874695,0.11702946573495865
Butembo,0.4872385859489441,0.8861076235771179,0.01886509731411934,0.03666568174958229,0.055958449840545654,0.05225343629717827
São Paulo,0.2754356563091278,0.8976942300796509,0.20048095285892487,0.3212851881980896,0.2975870966911316,0.3816825747489929
Barranquilla,0.33470848202705383,0.9118218421936035,0.076287642121315,0.13611409068107605,0.11720967292785645,0.15210673213005066
Asunción,0.3233809769153595,0.8897660970687866,0.22729557752609253,0.36621981859207153,0.31094810366630554,0.47484391927719116
San Juan,0.269146591424942,0.9110762476921082,0.22886055707931519,0.36747875809669495,0.38558948040008545,0.3775428831577301
Porto Alegre,0.2583570182323456,0.9097830653190613,0.35599416494369507,0.5232658982276917,0.6541990041732788,0.4285508394241333
