city,loss,accuracy,iou_score,f1_score,precision,recall
mean,0.35781246423721313,0.9062123894691467,0.13937918841838837,0.2331417053937912,0.279180645942688,0.24561944603919983
Yaoundé,0.6635447144508362,0.9245133996009827,0.008694900199770927,0.016984136775135994,0.21015264093875885,0.013291473500430584
Dar es Salaam,0.7159864902496338,0.7993350625038147,0.17726507782936096,0.3011472523212433,0.19746632874011993,0.6340693235397339
Kampala,0.5098554491996765,0.8347205519676208,0.10549453645944595,0.18412481248378754,0.11297479271888733,0.3230060040950775
Douala,0.9523338675498962,0.5937245488166809,0.017756791785359383,0.034893978387117386,0.02236228808760643,0.07937555015087128
Butembo,0.3329748809337616,0.9134650230407715,0.003828437766060233,0.007598692551255226,0.023729989305138588,0.009712870232760906
São Paulo,0.2644483149051666,0.9277692437171936,0.1756647527217865,0.28823307156562805,0.4373961389064789,0.2536754012107849
Barranquilla,0.3103451728820801,0.9329217076301575,0.05459824204444885,0.10195384174585342,0.11390694975852966,0.07618941366672516
Asunción,0.32916730642318726,0.9060050845146179,0.17593534290790558,0.2897894084453583,0.31844207644462585,0.30257612466812134
San Juan,0.2507277727127075,0.9289142489433289,0.2339695692062378,0.3775244653224945,0.5181697607040405,0.3065168857574463
Porto Alegre,0.3369496464729309,0.9020838141441345,0.24926532804965973,0.39840683341026306,0.6488974690437317,0.29182201623916626
